Issue Type,Issue ID,Parent ID,Summary,Epic Name,Story Points,Priority,Labels,Component,Sprint,Description,Blocked By,Blocked By,Blocked By
Story,1303,1300,"Ghi hold vào Postgres trong transaction, chọn bucket ngẫu nhiên + fallback vòng tròn",,8,Highest,ticketing db critical,ticketing,Sprint 1,"h3. User story
Là nền tảng, tôi muốn Postgres là nguồn sự thật cho mỗi hold để Redis lệch cũng không gây oversell.

h3. Bối cảnh
Lớp 2 (authoritative): UPDATE có điều kiện available >= qty trong transaction đơn hàng.

h3. Phạm vi công việc
* Use case create_hold: Redis gate → transaction Postgres
* Chọn bucket ngẫu nhiên, hết thì thử bucket kế tiếp (vòng tròn, tối đa 3 lần)
* Hoàn Redis khi Postgres từ chối
* BR-O3: tạo hold mới huỷ hold cũ

h3. Tiêu chí nghiệm thu (AC)
# Bucket hết thì thử bucket kế tiếp tối đa 3 lần rồi mới báo SOLD_OUT
# Postgres từ chối → Redis được hoàn lại, không rò rỉ kho
# Mỗi khách chỉ có 1 hold đang hoạt động trên mỗi sự kiện

h3. Phụ thuộc
Cần hoàn thành trước: EVF-31 (Redis Lua inventory gate: hold atomic, giảm tồn, ghi ZSET hết hạn)

h3. Hiện trạng mã nguồn
Đã có internal/app/create_hold.go, adapter/postgres/repository.go.

h3. Tham chiếu
Mã backlog: EVF-32 · BR-O1 · BR-O3

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1302,,
Story,1304,1300,Middleware Idempotency-Key (libs/go/idem) cho mọi API ghi,,5,Highest,ticketing api critical,ticketing,Sprint 0,"h3. User story
Là khách, tôi muốn bấm lại hoặc mạng chập chờn cũng không tạo đơn trùng.

h3. Bối cảnh
BR-O5: mọi API ghi bắt buộc header Idempotency-Key, lưu response 24h.

h3. Phạm vi công việc
* Bảng idempotency_keys(key, endpoint, response, expires_at)
* Middleware bắt buộc header ở API ghi
* Xử lý request đồng thời cùng key

h3. Tiêu chí nghiệm thu (AC)
# Thiếu header trả 400
# Gọi lại cùng key trong 24h trả đúng response cũ, không tạo đơn trùng
# 2 request đồng thời cùng key → chỉ 1 được xử lý, request còn lại nhận 409 hoặc response cũ

h3. Phụ thuộc
Cần hoàn thành trước: EVF-2 (libs/go/httpx: router, middleware và lỗi chuẩn RFC 7807), EVF-5 (Khung migration goose + schema khởi tạo)

h3. Tham chiếu
Mã backlog: EVF-33 · BR-O5

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1002,1005,
Story,1305,1300,"Hold sweeper: quét ZSET mỗi 1s, trả kho idempotent",,8,Highest,ticketing worker critical,ticketing,Sprint 1,"h3. User story
Là khách đang xếp hàng, tôi muốn ghế hết hạn giữ được trả lại ngay để người khác có cơ hội mua.

h3. Bối cảnh
BR-O2/BR-O7: giữ ghế đúng 10:00; mỗi hold chỉ release đúng một lần (WHERE released_at IS NULL). Không dùng keyspace notification.

h3. Phạm vi công việc
* Worker quét ZRANGEBYSCORE holds:{ev} -inf now mỗi 1s
* Transaction release idempotent + cộng kho + đơn EXPIRED
* Phát outbox hold.released

h3. Tiêu chí nghiệm thu (AC)
# Chạy 2 sweeper song song không gây double-release
# Hold hết hạn được trả kho trong ≤ 2s
# Crash giữa chừng rồi chạy lại vẫn đúng

h3. Phụ thuộc
Cần hoàn thành trước: EVF-32 (Ghi hold vào Postgres trong transaction, chọn bucket ngẫu nhiên + fallback vòng tròn)

h3. Hiện trạng mã nguồn
Đã có internal/worker/hold_sweeper.go.

h3. Tham chiếu
Mã backlog: EVF-34 · BR-O2 · BR-O7

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1303,,
Story,1306,1300,Giới hạn mua: max_per_order và max_per_identity gộp mọi đơn,,5,Highest,ticketing,ticketing,Sprint 1,"h3. User story
Là Ban tổ chức, tôi muốn giới hạn số vé mỗi người để vé đến được nhiều khách thật hơn.

h3. Bối cảnh
BR-O4: mặc định 4 vé/đơn và 4 vé/người/sự kiện, tính gộp mọi đơn đã PAID và hold đang hoạt động.

h3. Phạm vi công việc
* Kiểm tra max_per_order khi tạo hold
* Kiểm tra max_per_identity gộp đơn PAID + hold
* Cấu hình theo sự kiện

h3. Tiêu chí nghiệm thu (AC)
# Mua vượt giới hạn bị chặn với lỗi rõ ràng
# Tính gộp mọi đơn đã PAID; 2 request song song không vượt được giới hạn

h3. Phụ thuộc
Cần hoàn thành trước: EVF-32 (Ghi hold vào Postgres trong transaction, chọn bucket ngẫu nhiên + fallback vòng tròn)

h3. Tham chiếu
Mã backlog: EVF-35 · BR-O4

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1303,,
Story,1307,1300,Transactional outbox + relay ra RabbitMQ,,5,Highest,ticketing mq,ticketing,Sprint 0,"h3. User story
Là nền tảng, tôi muốn sự kiện nghiệp vụ không bao giờ bị mất dù service chết giữa chừng.

h3. Bối cảnh
Ghi DB và publish MQ không nằm chung transaction; outbox bảo đảm at-least-once.

h3. Phạm vi công việc
* Bảng outbox_events ghi trong cùng transaction nghiệp vụ
* Relay đọc và publish, đánh dấu đã gửi
* libs/go/outbox dùng chung

h3. Tiêu chí nghiệm thu (AC)
# Không mất event khi service chết giữa chừng — có test kill-restart
# Event có event_id để consumer khử trùng lặp

h3. Phụ thuộc
Cần hoàn thành trước: EVF-7 (libs/go/mq: publisher + consumer có retry/DLQ, khai báo topology)

h3. Tham chiếu
Mã backlog: EVF-36 · docs/03-cau-truc-src.md mục 7

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1007,,
Story,1308,1300,"Job đối soát tồn kho Redis ↔ Postgres mỗi 10s, export metric inventory_drift",,5,Highest,ticketing reliability,ticketing,Sprint 1,"h3. User story
Là SRE, tôi muốn Redis tự được sửa khi lệch so với Postgres để không báo hết vé sai.

h3. Bối cảnh
Redis có thể lệch (failover, mất dữ liệu); lệch chỉ gây báo hết sớm và phải được đồng bộ lại từ Postgres.

h3. Phạm vi công việc
* Job so sánh available Redis vs Postgres mỗi 10s
* Đồng bộ Redis theo Postgres
* Export metric ticketing_inventory_drift

h3. Tiêu chí nghiệm thu (AC)
# Cố ý làm lệch Redis → job tự sửa trong ≤ 20s
# Metric inventory_drift về 0 sau khi sửa

h3. Phụ thuộc
Cần hoàn thành trước: EVF-31 (Redis Lua inventory gate: hold atomic, giảm tồn, ghi ZSET hết hạn), EVF-32 (Ghi hold vào Postgres trong transaction, chọn bucket ngẫu nhiên + fallback vòng tròn)

h3. Tham chiếu
Mã backlog: EVF-37 · BR-O1

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1302,1303,
Story,1309,1300,Phát hành vé + QR ký HMAC có jti,,5,High,ticketing security,ticketing,Sprint 3,"h3. User story
Là khách, tôi muốn nhận vé có mã QR không thể làm giả để vào cửa.

h3. Bối cảnh
BR-O8: QR ký HMAC-SHA256 kèm jti và hạn dùng; check-in xác minh online.

h3. Phạm vi công việc
* Consumer payment PAID → tạo tickets
* Sinh QR ký HMAC (libs/go/authx), lưu jti
* Lưu ảnh QR lên object storage

h3. Tiêu chí nghiệm thu (AC)
# QR giả mạo bị từ chối
# QR dùng lại lần 2 bị từ chối
# Mỗi đơn PAID phát đúng số vé, không trùng khi nhận event lặp

h3. Phụ thuộc
Cần hoàn thành trước: EVF-71 (Webhook exactly-once: UNIQUE provider_txn_id, xác minh chữ ký, chống replay)

h3. Tham chiếu
Mã backlog: EVF-38 · BR-O8

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1502,,
Task,1310,1300,"Test đồng thời: 10.000 goroutine mua 100 vé → đúng 100 đơn, 0 oversell",,5,Highest,ticketing critical quality-gate test,ticketing,Sprint 1,"h3. Bối cảnh
Cổng chất lượng không thể bỏ qua cho bất biến BR-O1. Chạy trên Postgres + Redis thật (testcontainers).

h3. Phạm vi công việc
* Test 10.000 goroutine cùng mua hạng vé quota 100
* Kiểm tra cả oversell và under-sell (bug trả kho)
* Tích hợp vào CI, chạy lặp 200 lần

h3. Tiêu chí nghiệm thu (AC)
# Chạy 200 lần trong CI: đúng 100 đơn thành công mỗi lần
# 0 lần oversell, 0 lần under-sell
# Test fail → chặn merge và chặn release

h3. Phụ thuộc
Cần hoàn thành trước: EVF-32 (Ghi hold vào Postgres trong transaction, chọn bucket ngẫu nhiên + fallback vòng tròn), EVF-34 (Hold sweeper: quét ZSET mỗi 1s, trả kho idempotent)

h3. Hiện trạng mã nguồn
Đã có test/concurrency/oversell_test.go và helpers.go.

h3. Tham chiếu
Mã backlog: EVF-39 · BR-O1 · BR-O7

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1303,1305,
Task,1311,1300,API check-in: đổi ISSUED → CHECKED_IN đúng một lần,,3,Medium,ticketing,ticketing,Sprint 6,"h3. Bối cảnh
Nhân viên soát vé quét QR tại cổng; mỗi vé chỉ được vào một lần.

h3. Phạm vi công việc
* API check-in xác minh chữ ký QR và jti
* Cập nhật trạng thái có điều kiện
* Ghi log check-in

h3. Tiêu chí nghiệm thu (AC)
# Check-in lần 2 trả 409
# QR chữ ký sai trả 400

h3. Phụ thuộc
Cần hoàn thành trước: EVF-38 (Phát hành vé + QR ký HMAC có jti)

h3. Tham chiếu
Mã backlog: EVF-40 · BR-O8

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1309,,
Epic,1400,,E5 – Phòng chờ ảo,E5 Phòng chờ,,Highest,waitingroom critical,waitingroom,,"h3. Mục tiêu
Xếp hàng công bằng và biến đỉnh tải vô hạn thành dòng tải hằng số xuống checkout bằng admit controller.

h3. Phạm vi
* Queue token, join O(1) idempotent
* LOBBY + lottery tại T0, FIFO sau T0
* Status thích nghi + ETag, SSE
* Admit controller AIMD + leader election
* Heartbeat, SOLD_OUT/waitlist, Ops override

h3. Tiêu chí hoàn thành epic
# k6: 100k VU join trong 5s, p99 < 300 ms
# Kiểm định thống kê: thời điểm join trước T0 không tương quan với rank
# admit_rate tự giảm ≤ 10s khi checkout chậm, phục hồi ≤ 60s

h3. Rủi ro chính
Controller sai thì hoặc DB sập (admit quá nhanh) hoặc khách chờ vô ích (admit quá chậm).",,,
Story,1401,1400,"Queue token ký, gắn identity + device + event, join idempotent",,5,Highest,waitingroom critical,waitingroom,Sprint 2,"h3. User story
Là khách, tôi muốn vào lại từ tab hay thiết bị khác vẫn giữ nguyên chỗ trong hàng.

h3. Bối cảnh
BR-Q3: 1 người 1 chỗ; join lại trả đúng token và rank cũ, không có cách nhân bản chỗ.

h3. Phạm vi công việc
* Ký queue token gắn identity_id, device_id, event_id
* Xác minh token ở mọi API hàng chờ
* Yêu cầu OTP đã xác thực

h3. Tiêu chí nghiệm thu (AC)
# Join lại từ tab/thiết bị khác trả đúng token và rank cũ
# Token giả hoặc của sự kiện khác bị từ chối

h3. Phụ thuộc
Cần hoàn thành trước: EVF-11 (Xác thực OTP qua SMS/email trước khi xếp hàng), EVF-13 (Đăng ký device fingerprint, liên kết identity ↔ device)

h3. Tham chiếu
Mã backlog: EVF-50 · BR-Q3

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1102,1104,
Story,1402,1400,"join.lua: O(1), một round-trip Redis, shard theo event",,5,Highest,waitingroom redis critical,waitingroom,Sprint 2,"h3. User story
Là nền tảng, tôi muốn thao tác join cực rẻ để chịu được hàng trăm nghìn request mỗi giây.

h3. Bối cảnh
Tầng 3: đường đi nóng chỉ chạy một Lua script atomic, không chạm Postgres.

h3. Phạm vi công việc
* join.lua: GET token cũ, INCR seq, ZADD lobby/queue, SET token
* Hash tag {ev} để cùng sự kiện cùng shard

h3. Tiêu chí nghiệm thu (AC)
# Benchmark 100k ops/s trên 1 node Redis
# Hash tag bảo đảm mọi key của một sự kiện nằm cùng shard
# Không có truy vấn Postgres trên đường join

h3. Phụ thuộc
Cần hoàn thành trước: EVF-50 (Queue token ký, gắn identity + device + event, join idempotent)

h3. Hiện trạng mã nguồn
Đã có adapter/redis/script/join.lua, queue.go.

h3. Tham chiếu
Mã backlog: EVF-51 · docs/02-kien-truc.md Tầng 3

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1401,,
Story,1403,1400,LOBBY trước T0 + lottery xáo trộn công bằng tại T0,,8,Highest,waitingroom fairness critical,waitingroom,Sprint 2,"h3. User story
Là khách, tôi muốn vào sớm hay muộn trước giờ mở bán đều có cơ hội như nhau.

h3. Bối cảnh
BR-Q1: vào trước T0 thì ở LOBBY không có số thứ tự; đúng T0 xáo trộn ngẫu nhiên rồi mới cấp rank. Triệt tiêu động cơ bấm F5 của bot.

h3. Phạm vi công việc
* shuffle.lua / job xáo trộn tại T0 bằng nguồn ngẫu nhiên an toàn
* Chuyển LOBBY → QUEUED với rank
* Xử lý LOBBY lớn theo lô, không khoá Redis quá lâu

h3. Tiêu chí nghiệm thu (AC)
# Kiểm định thống kê: thời điểm join trước T0 không tương quan với rank (p > 0.05)
# Xáo trộn 300k phần tử hoàn tất trong ≤ 2s
# Chạy lại job không xáo trộn lần 2

h3. Phụ thuộc
Cần hoàn thành trước: EVF-51 (join.lua: O(1), một round-trip Redis, shard theo event)

h3. Hiện trạng mã nguồn
Đã có adapter/redis/script/shuffle.lua.

h3. Tham chiếu
Mã backlog: EVF-52 · BR-Q1

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1402,,
Story,1404,1400,Nối đuôi FIFO sau T0,,3,Highest,waitingroom,waitingroom,Sprint 2,"h3. User story
Là khách vào sau giờ mở bán, tôi muốn được xếp theo thứ tự đến.

h3. Bối cảnh
BR-Q2: người vào sau T0 nối đuôi FIFO sau toàn bộ nhóm lottery.

h3. Phạm vi công việc
* Score FIFO sau T0 lớn hơn mọi score lottery
* Xử lý đúng khi join sát T0 (đang xáo trộn)

h3. Tiêu chí nghiệm thu (AC)
# Người vào sau T0 luôn có rank lớn hơn toàn bộ nhóm lottery
# Join đúng lúc đang xáo trộn không bị mất hoặc chen lên trước

h3. Phụ thuộc
Cần hoàn thành trước: EVF-52 (LOBBY trước T0 + lottery xáo trộn công bằng tại T0)

h3. Tham chiếu
Mã backlog: EVF-53 · BR-Q2

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1403,,
Story,1405,1400,"GET /queue/status: rank, ETA, poll_after_ms thích nghi + ETag",,8,Highest,waitingroom scale,waitingroom,Sprint 2,"h3. User story
Là khách, tôi muốn biết vị trí và thời gian chờ ước tính mà không làm quá tải hệ thống.

h3. Bối cảnh
Chiếm ~90% lưu lượng trong 30 phút chờ. BR-Q4: server quyết định nhịp poll theo rank.

h3. Phạm vi công việc
* status.lua đọc rank + trạng thái trong 1 round-trip
* Tính ETA từ admit_rate
* poll_after_ms thích nghi, ETag / 304
* Cache theo bucket rank

h3. Tiêu chí nghiệm thu (AC)
# rank > 10.000 → poll_after_ms = 30000; rank < 500 → 3000
# Trả 304 khi trạng thái không đổi
# p99 < 150 ms

h3. Phụ thuộc
Cần hoàn thành trước: EVF-51 (join.lua: O(1), một round-trip Redis, shard theo event)

h3. Hiện trạng mã nguồn
Đã có script/status.lua, domain/position.go.

h3. Tham chiếu
Mã backlog: EVF-54 · BR-Q4 · docs/02-kien-truc.md Tầng 4

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1402,,
Story,1406,1400,"Admit controller AIMD, bầu leader qua Redis lock có fencing",,8,Highest,waitingroom critical scale,waitingroom,Sprint 2,"h3. User story
Là SRE, tôi muốn tốc độ cho khách vào checkout tự điều chỉnh theo sức khoẻ hệ thống.

h3. Bối cảnh
BR-Q5, trái tim giải pháp scale: ghim tải xuống Postgres ở mức hằng số bất kể số người xếp hàng.

h3. Phạm vi công việc
* Thu thập checkout_throughput, p99, db_pool_usage, error_rate mỗi 1s
* AIMD: khoẻ thì cộng, có sức ép thì nhân 0.7
* Leader election SET NX PX + fencing token (libs/go/leader)
* Hỗ trợ manual_override

h3. Tiêu chí nghiệm thu (AC)
# Tiêm độ trễ giả vào checkout → admit_rate giảm trong ≤ 10s
# Phục hồi trong ≤ 60s sau khi hết độ trễ
# Không dao động quá 2 chu kỳ
# Chỉ 1 leader mỗi sự kiện; leader cũ bị fencing chặn ghi

h3. Phụ thuộc
Cần hoàn thành trước: EVF-54 (GET /queue/status: rank, ETA, poll_after_ms thích nghi + ETag)

h3. Hiện trạng mã nguồn
Đã có internal/app/admit_controller.go.

h3. Tham chiếu
Mã backlog: EVF-55 · BR-Q5 · docs/02-kien-truc.md Tầng 5

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1405,,
Story,1407,1400,"admit.lua: ZPOPMIN theo lô → tập admitted, TTL 15 phút",,5,Highest,waitingroom redis,waitingroom,Sprint 2,"h3. User story
Là khách, tôi muốn khi tới lượt được vào mua vé ngay và đủ thời gian chọn vé.

h3. Bối cảnh
BR-Q7: suất admit có TTL 15 phút (10 phút giữ ghế + thời gian chọn vé).

h3. Phạm vi công việc
* admit.lua: ZPOPMIN N từ queue sang admitted atomic
* Đặt TTL 15 phút
* Publish sự kiện YOUR_TURN

h3. Tiêu chí nghiệm thu (AC)
# Atomic, không admit trùng một token
# Hết TTL chưa thanh toán → EXPIRED, không được ưu tiên khi xếp lại

h3. Phụ thuộc
Cần hoàn thành trước: EVF-55 (Admit controller AIMD, bầu leader qua Redis lock có fencing)

h3. Hiện trạng mã nguồn
Đã có script/admit.lua.

h3. Tham chiếu
Mã backlog: EVF-56 · BR-Q7

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1406,,
Story,1408,1400,"SSE push ""tới lượt bạn"" + fallback polling",,5,Highest,waitingroom frontend,waitingroom,Sprint 2,"h3. User story
Là khách gần tới lượt, tôi muốn được báo ngay lập tức khi tới lượt.

h3. Bối cảnh
SSE tốn kết nối nên chỉ dùng cho nhóm gần lượt; nhóm xa vẫn polling.

h3. Phạm vi công việc
* Endpoint SSE cho nhóm rank nhỏ
* Fan-out sự kiện YOUR_TURN qua notification-svc
* Fallback polling khi SSE lỗi

h3. Tiêu chí nghiệm thu (AC)
# Mất kết nối SSE → tự động chuyển polling, không mất lượt
# Thông báo YOUR_TURN tới client trong ≤ 2s

h3. Phụ thuộc
Cần hoàn thành trước: EVF-56 (admit.lua: ZPOPMIN theo lô → tập admitted, TTL 15 phút)

h3. Tham chiếu
Mã backlog: EVF-57

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1407,,
Story,1409,1400,Heartbeat + giữ chỗ 5 phút khi rớt kết nối,,3,High,waitingroom,waitingroom,Sprint 2,"h3. User story
Là khách bị rớt mạng, tôi muốn quay lại vẫn giữ nguyên vị trí.

h3. Bối cảnh
QUEUED rớt kết nối > 90s được giữ chỗ 5 phút; quá hạn → DROPPED.

h3. Phạm vi công việc
* API heartbeat
* Đánh dấu mất kết nối và thời hạn giữ chỗ
* Job dọn DROPPED

h3. Tiêu chí nghiệm thu (AC)
# Tắt mạng 3 phút rồi quay lại vẫn giữ rank
# Quá 5 phút + 90s → DROPPED và phải xếp lại

h3. Phụ thuộc
Cần hoàn thành trước: EVF-54 (GET /queue/status: rank, ETA, poll_after_ms thích nghi + ETag)

h3. Tham chiếu
Mã backlog: EVF-58

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1405,,
Story,1410,1400,"Xử lý SOLD_OUT: thông báo hàng chờ, chuyển sang waitlist",,3,High,waitingroom,waitingroom,Sprint 6,"h3. User story
Là khách đang chờ, tôi muốn biết ngay khi hết vé thay vì chờ vô ích.

h3. Bối cảnh
BR-Q6: hết vé thì toàn bộ QUEUED nhận SOLD_OUT, được mời vào waitlist; không đẩy thêm ai vào checkout.

h3. Phạm vi công việc
* Nhận sự kiện hết vé từ ticketing
* Dừng admit, broadcast SOLD_OUT
* Đăng ký waitlist

h3. Tiêu chí nghiệm thu (AC)
# Hết vé → toàn bộ QUEUED nhận thông báo trong ≤ 5s
# Không ai bị đẩy vào checkout sau khi SOLD_OUT

h3. Phụ thuộc
Cần hoàn thành trước: EVF-57 (SSE push ""tới lượt bạn"" + fallback polling)

h3. Tham chiếu
Mã backlog: EVF-59 · BR-Q6

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1408,,
Story,1411,1400,"Ops API + UI: xem/ghi đè admit_rate, tạm dừng khẩn cấp",,5,High,waitingroom ops,waitingroom,Sprint 5,"h3. User story
Là Ops trực sự kiện, tôi muốn can thiệp tốc độ admit hoặc tạm dừng khi có sự cố.

h3. Bối cảnh
BR-Q5 cho phép Ops ghi đè thủ công (manual_override).

h3. Phạm vi công việc
* API xem/ghi đè admit_rate, tạm dừng/tiếp tục
* UI trong console Ops
* Ghi audit_log

h3. Tiêu chí nghiệm thu (AC)
# Ghi đè có hiệu lực trong ≤ 2s
# Mọi thao tác được ghi audit kèm người thực hiện
# Chỉ vai trò Ops thao tác được

h3. Phụ thuộc
Cần hoàn thành trước: EVF-55 (Admit controller AIMD, bầu leader qua Redis lock có fencing), EVF-14 (Phân quyền RBAC: Buyer / Organizer / Moderator / Ops)

h3. Tham chiếu
Mã backlog: EVF-60 · BR-Q5

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1406,1105,
Task,1412,1400,Jitter phía client 0..5s tại T0,,2,Highest,waitingroom frontend scale,web,Sprint 2,"h3. Bối cảnh
Tầng 2: client tự hoãn gọi join ngẫu nhiên 0..5s sau T0, trải đỉnh 300k rps thành ~60k rps. Nhờ lottery nên hoãn không gây thiệt.

h3. Phạm vi công việc
* lib/jitter.ts
* Áp dụng trước lời gọi join tại T0
* Đồng bộ giờ theo GET /time

h3. Tiêu chí nghiệm thu (AC)
# Phân bố thời điểm join trải đều trên 5s, không dồn cục tại giây đầu
# Dùng giờ server, không dùng giờ máy khách

h3. Phụ thuộc
Cần hoàn thành trước: EVF-51 (join.lua: O(1), một round-trip Redis, shard theo event)

h3. Hiện trạng mã nguồn
Có apps/web/src/lib/queue-client.ts làm nền.

h3. Tham chiếu
Mã backlog: EVF-61 · docs/02-kien-truc.md Tầng 2

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1402,,
Epic,1500,,E6 – Thanh toán,E6 Thanh toán,,Highest,payment,payment,,"h3. Mục tiêu
Thu tiền chính xác một lần cho mỗi đơn, tự chữa đơn treo và hoàn tiền khi sự kiện huỷ.

h3. Phạm vi
* Adapter VNPay/Momo/Stripe + mock
* Webhook exactly-once, payment_inbox
* Job đối soát đơn treo
* Hoàn tiền, email/SMS xác nhận

h3. Tiêu chí hoàn thành epic
# Bắn lại cùng webhook 100 lần → đúng 1 đơn PAID
# Không còn đơn ở trạng thái lửng lơ quá 15 phút
# Chạy local hoàn toàn bằng mock

h3. Rủi ro chính
Webhook trùng hoặc mất gây thu tiền 2 lần hoặc thu tiền mà không phát vé.",,,
Story,1501,1500,Adapter cổng thanh toán (VNPay/Momo/Stripe) + sandbox mock,,8,Highest,payment,payment,Sprint 3,"h3. User story
Là khách, tôi muốn thanh toán bằng phương thức quen thuộc của mình.

h3. Bối cảnh
Cần một port chung cho nhiều cổng; môi trường local chạy bằng mock.

h3. Phạm vi công việc
* Port PaymentGateway và adapter cho từng cổng
* Mock gateway giả lập thành công/thất bại/trễ webhook
* Luồng HELD → PAYMENT_PENDING

h3. Tiêu chí nghiệm thu (AC)
# Chạy được local hoàn toàn bằng mock, không cần cổng thật
# Đổi cổng chỉ cần cấu hình

h3. Phụ thuộc
Cần hoàn thành trước: EVF-32 (Ghi hold vào Postgres trong transaction, chọn bucket ngẫu nhiên + fallback vòng tròn)

h3. Tham chiếu
Mã backlog: EVF-70

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1303,,
Story,1502,1500,"Webhook exactly-once: UNIQUE provider_txn_id, xác minh chữ ký, chống replay",,8,Highest,payment critical,payment,Sprint 3,"h3. User story
Là nền tảng, tôi muốn mỗi giao dịch chỉ được ghi nhận đúng một lần dù cổng gửi webhook nhiều lần.

h3. Bối cảnh
BR-O6: UNIQUE index trên provider_txn_id; webhook lặp là no-op trả 200.

h3. Phạm vi công việc
* Xác minh chữ ký + cửa sổ timestamp chống replay
* Ghi payments + chuyển đơn PAID trong transaction
* Phát outbox order.paid

h3. Tiêu chí nghiệm thu (AC)
# Bắn lại cùng webhook 100 lần → đúng 1 đơn PAID
# Chữ ký sai bị từ chối
# Webhook quá cửa sổ thời gian bị từ chối

h3. Phụ thuộc
Cần hoàn thành trước: EVF-70 (Adapter cổng thanh toán (VNPay/Momo/Stripe) + sandbox mock), EVF-36 (Transactional outbox + relay ra RabbitMQ)

h3. Tham chiếu
Mã backlog: EVF-71 · BR-O6

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1501,1307,
Story,1503,1500,payment_inbox cho webhook đến sớm + replay,,5,High,payment reliability,payment,Sprint 5,"h3. User story
Là nền tảng, tôi muốn webhook đến trước khi đơn tồn tại không bị mất.

h3. Bối cảnh
BR-O6: webhook đến sớm được lưu payment_inbox và replay sau.

h3. Phạm vi công việc
* Lưu webhook chưa khớp đơn vào payment_inbox
* Job replay định kỳ
* Cảnh báo bản ghi tồn quá lâu

h3. Tiêu chí nghiệm thu (AC)
# Webhook đến trước khi đơn tồn tại được lưu và replay thành công
# Replay idempotent

h3. Phụ thuộc
Cần hoàn thành trước: EVF-71 (Webhook exactly-once: UNIQUE provider_txn_id, xác minh chữ ký, chống replay)

h3. Tham chiếu
Mã backlog: EVF-72 · BR-O6

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1502,,
Story,1504,1500,"Job đối soát: đơn quá 15 phút không có webhook → hỏi cổng thanh toán, tự chữa",,5,Highest,payment reliability,payment,Sprint 3,"h3. User story
Là khách, tôi muốn đơn của mình không bị treo khi cổng thanh toán không gửi webhook.

h3. Bối cảnh
Đơn PAYMENT_PENDING quá 15 phút phải được truy vấn chủ động để chuyển PAID hoặc CANCELLED.

h3. Phạm vi công việc
* Job quét đơn PAYMENT_PENDING quá 15 phút
* Gọi API tra cứu của cổng
* Chuyển PAID (tự chữa) hoặc CANCELLED (trả kho)

h3. Tiêu chí nghiệm thu (AC)
# Đơn treo được tự chữa về PAID hoặc CANCELLED, không còn trạng thái lửng lơ
# Metric payment_webhook_lag_seconds được export

h3. Phụ thuộc
Cần hoàn thành trước: EVF-71 (Webhook exactly-once: UNIQUE provider_txn_id, xác minh chữ ký, chống replay)

h3. Tham chiếu
Mã backlog: EVF-73

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1502,,
